Rory Atkins (ADE), ADE,MID, ,87,54,7,0,0,0,0,55,56,57,60,55,0,0,0,0,0,79,79,79,75,82,76,410000,410000,403500,366500,366500,366500,366500,366500,288900,287200,288200,288500,288500,288500,288500,288500,288500,386300,390400,396700,399500,402900,404200,
Luke Brown (ADE), ADE,DEF, ,60,52,78,77,55,61,47,67,57,68,61,60,0,0,0,0,0,73,66,68,64,61,69,369300,369300,356700,350500,352600,354900,348500,328800,311300,314400,314000,315000,315000,315000,315000,315000,315000,367100,367200,366000,360900,354900,351000,
Jordon Butts (ADE), ADE,DEF, ,0,0,0,0,0,0,0,25,26,23,25,26,0,0,0,0,0,20,24,27,20,24,27,123900,123900,123900,123900,123900,123900,123900,123900,123900,124000,124100,124200,124200,124200,124200,124200,124200,124600,124500,124500,124400,124300,124300,
Ben Crocker (ADE), ADE,FWD, ,0,34,54,52,58,0,0,41,46,49,46,46,0,0,0,0,0,34,31,30,42,35,28,152000,152000,152000,165100,185200,210400,210400,210400,227700,228000,230400,232200,232200,232200,232200,232200,232200,182600,180600,176900,177700,180100,181100,
Brad Crouch (ADE), ADE,MID, ,92,66,101,102,110,81,90,105,79,92,93,87,0,0,0,0,0,94,92,100,96,97,97,534100,534100,514100,498600,490300,502800,502500,494600,479800,475600,467300,464800,464800,464800,464800,464800,464800,524000,518000,513600,511000,511400,510500,
Matt Crouch (ADE), ADE,MID, ,68,94,102,0,113,123,90,92,105,99,91,114,0,0,0,0,0,98,112,92,104,128,105,563000,563000,539900,520000,520000,523000,537500,540300,519700,513900,509200,509800,509800,509800,509800,509800,509800,567900,569900,559400,554100,557400,565800,
Ben Davis (ADE), ADE,FWD, ,51,0,0,0,0,0,0,37,37,37,37,37,0,0,0,0,0,22,22,22,22,22,22,123900,123900,123900,123900,123900,123900,123900,123900,158900,166200,171600,175600,175600,175600,175600,175600,175600,115700,115600,115600,115600,115600,115600,
Tom Doedee (ADE), ADE,DEF, ,0,39,113,48,116,105,124,102,100,109,93,104,0,0,0,0,0,60,57,62,52,55,54,273700,273700,273700,294400,307900,351700,380100,433000,487400,496800,499800,503700,503700,503700,503700,503700,503700,297300,300900,304100,302900,301100,296200,
Darcy Fogarty (ADE), ADE,FWD, ,59,56,64,0,0,0,0,61,60,62,63,54,0,0,0,0,0,68,67,65,65,65,65,283500,283500,286900,293700,293700,293700,293700,293700,300500,302400,304700,303700,303700,303700,303700,303700,303700,350600,352700,352000,350000,347700,346100,
Billy Frampton (ADE), ADE,FWD, ,45,0,0,53,61,61,0,49,49,49,49,49,0,0,0,0,0,44,44,44,38,44,44,165400,165400,165400,165400,180200,204400,229200,229200,250600,249700,249100,248600,248600,248600,248600,248600,248600,231000,231000,231100,228300,226200,224800,
